unique_id,MetaARIMA,AutoARIMA,SeasonalNaive,TimesFM
T000134,0.6356759994941406,0.6121483928886571,0.9101382488479263,0.6697572207121255
T000135,0.9108278109673742,0.9108278109673742,0.9798190321268807,0.9222005104911962
T000136,0.6641381087699575,0.6623212035888926,0.7084797891036908,0.6196839022510711
T000137,0.6109747860336551,0.6341508052708638,0.7796486090775987,0.6800877047492678
T000138,0.6401475327308858,0.6401475327308858,0.6257557436517533,0.697193833043238
T000139,0.556683213050855,0.6013966662310023,0.8683993399339933,0.49558371364480197
T000140,0.6484979644955434,0.6484979644955434,0.5996963562753036,0.7346801603371315
T000141,1.3656846993177547,0.8859469872253127,1.002710027100271,0.9335937086482682
T000142,1.3109601536498607,1.2759545369853433,1.2510170870626527,1.278890685786844
T000143,1.0960475106868062,0.7287527986820338,1.1773664479850048,1.263484879755594
T000144,1.0229319322959458,1.0281436489383449,1.1432536293766011,1.0845214947994504
T000145,0.9478631164337028,0.997584011453402,1.0537870472008783,1.1101164398025865
T000146,0.5684294704131929,0.6250097656971678,0.8273381294964028,1.046297010243368
T000147,0.6023772507543328,0.36847492702069085,0.9997522299306243,0.974017327935301
T000148,1.179203938472219,1.1668595562054604,1.0610316649642493,1.0391182608209908
T000149,0.4099222296557989,0.438144517578798,0.7070707070707071,0.45502407703335435
T000150,0.7749835914106644,0.823669407696342,0.9967798594847775,0.7675677904758855
T000151,1.0466792842689912,0.7363467443929768,0.48813559322033895,0.6253706965042373
T000152,1.1546486842478945,0.6578764611754508,0.5525709900230238,0.7649958741545951
T000153,0.6021275837189163,0.5627507237691723,1.2117537313432836,0.6171488929862406
T000154,0.4957994350545939,0.3415975247711034,0.6907894736842105,0.5928247625177556
T000155,0.6490662008532372,0.5065296746514606,0.67093905309966,0.47122573154059316
T000156,0.5032103207687858,0.43514296841943745,0.5858531317494601,0.5709015617617778
T000157,0.5183486040315005,0.5182871689312225,0.7137030995106036,0.594712125146564
T000158,0.4381343295806769,0.4364006252499174,0.8978474320241692,0.3427197781934479
T000159,0.9497487219482392,0.8956515499914106,1.1284722222222223,0.9609928385416666
T000160,0.49143195877354157,0.49143195877354157,0.6533101045296167,0.4887581004498312
T000161,0.9622922657004025,0.6446960720976165,0.7060546875,0.5935391807556153
T000162,0.6968963040350272,0.6991462070639312,0.9577015163607343,0.7074578993813285
T000163,0.5305472072132144,0.559541552769737,0.8944797819173104,0.5943545697223919
T000164,1.0732495502338264,1.0732495502338264,1.3135302197802199,1.0040400997622982
T000165,0.7326926343378816,0.7326926343378816,1.2205188679245282,0.6115731293300413
T000166,1.0162023836991456,1.0412185715886273,1.15609756097561,0.9637308141196647
T000167,0.8375560189733123,0.803289890987007,0.7458563535911602,0.855777626669868
T000168,0.5416007956595258,0.5325353181902373,0.8284883720930233,0.5385989876680596
T000169,0.5313237858572557,0.5204161880308762,0.8512269938650306,0.4985095439513037
T000170,0.6083021489707856,0.6171173703368058,0.7305194805194806,0.5521485960328734
T000171,0.791440286081776,0.9727911449625978,1.115819209039548,0.5948470810712394
T000172,0.8493752305396487,0.7350397318413374,1.1381004366812226,0.779241543565775
T000173,0.5783878403641356,0.5612183715246696,0.537542662116041,0.5871750867407477
T000174,1.03381396668927,0.9420268911445993,1.0873824451410659,1.0043828025506956
T000175,0.7192438421932643,0.7371079665423028,0.5527052238805971,0.8209900927187791
T000176,0.6948756029129666,0.6926601331274235,0.8015799256505576,0.6412472976627845
T000177,0.7768320755269987,0.5981052401777608,1.0549346267397723,0.6600726838355223
T000178,0.7658760792239496,0.7658760792239496,0.8191244239631337,0.7609835013815883
T000179,0.940312785119991,0.9553552654660538,0.9171270718232044,0.9450190928759495
T000180,0.6569318678837729,0.6300951086956522,0.6368885869565217,0.6163041073343029
T000181,0.6611600595167313,0.6549739155776875,0.7159810126582279,0.6257427714545013
T000182,1.3206587494268471,0.9779108795847274,1.3327410039982228,0.738530386505737
T000183,1.1463268971787495,1.1058741828841199,0.9980334316617502,0.9665193210778101
T000184,1.354082356216031,1.354082356216031,1.169256284916201,1.0016394354111655
T000185,0.9597578229967135,0.9597578229967135,1.0082913828842166,0.9853729302268216
T000186,0.7640039979216814,0.6988632995616084,1.0124894751613807,0.5882808311648694
T000187,0.8640841072894815,0.8640841072894815,0.7935684647302904,0.5247377683183134
T000188,1.0523379685041283,0.927007368518063,1.047605473204105,0.5589798860974023
T000189,0.5595094156838669,0.5595094156838669,0.5692874517098298,0.48652750010619367
T000190,1.0216224124969482,1.0637904402002334,0.7504453681710214,0.9366668918636801
T000191,0.928108206523487,1.2366566585640122,0.9378513868065966,1.0034276627707874
T000192,0.8483651514485787,0.9106565501143107,0.7254404249596558,0.7585680850287033
T000193,0.7395191026591231,0.6707396243441375,0.768727249505077,0.9993153725618056
T000194,0.4447841416997542,0.4447841416997542,0.6178545366090976,0.4263114882802998
T000195,0.5944352059384367,0.5944352059384367,0.63446173254836,0.5625152459557664
T000196,0.5420221737673647,0.5009977194982896,0.5017103762827823,0.4530612854212693
T000197,0.6220660393365253,0.635790093907371,0.9642857142857143,0.5748714759701589
T000198,0.5920462933274911,0.5920462933274911,0.47086541014069555,0.5196486175107741
T000199,0.6071476744306008,0.6071476744306008,0.6062814736284123,0.5516737981655223
T000200,0.5388496360178485,0.5388496360178485,0.6433211192538308,0.42367590815920897
T000201,0.7488300930902517,0.7492619386986944,0.7251116783663051,0.694825411603644
T000202,0.8862225608517376,0.8862225608517376,0.6894115691489361,0.6918908129347131
T000203,0.5713394492323671,0.5825883001876877,0.856858186648954,0.5258092306967551
T000204,0.6993085457955369,0.5927821959476985,0.922244822485207,0.41414766480936804
T000205,0.6176261953202326,0.6177630055209062,0.915929203539823,0.6467954382432245
T000206,1.3072640200007692,1.744347592369983,1.5905572755417956,1.2132918413947609
T000207,0.47374985931048685,0.4747809552601895,0.8820812807881773,0.49491886082541175
T000208,0.7775751607693484,0.774408952484687,1.0685840707964602,0.7308320712199252
T000209,1.1395189921891256,1.120856117072402,1.1360967590418036,1.0757129144198239
T000210,1.2356558360588479,1.7526176569708076,1.5977112676056338,1.2340825936044326
T000211,0.6684460401833594,0.6488501349566221,0.834252502969625,0.6235583642130693
T000212,0.27879632896285933,0.28307184407073527,0.577054794520548,0.5127126113682577
T000213,0.749448153928758,1.7492279352181763,0.7490836896762371,0.6454209390033216
T000214,1.0219980766930785,1.0437768122036581,1.2399799599198396,0.994847348505605
T000215,0.5542116703384868,0.5190198273136328,0.8350253807106598,0.5429872526372145
T000216,0.9979432868915916,0.9867649761300913,1.1980863192182412,1.0322691578818455
T000217,0.6906202794131124,0.6906202794131124,0.7005263747340128,0.7637909649868057
T000218,0.5691124827893012,0.5770292116355992,0.598941629249519,0.5388970512698444
T000219,0.6096225070226132,0.601424172152854,0.6716837371971022,0.7387609012478922
T000220,1.2215201018540385,1.104217242162241,1.5212765957446808,1.1654894456795766
T000221,0.7138888395129456,0.7109354241665655,0.9017801374141162,0.7253241077353998
T000222,0.47719667649206526,0.44827384850734087,0.76171875,0.3453327587672642
T000223,0.6698684306062005,0.6454018782217281,1.080298013245033,0.6832532667955815
T000224,0.6644606830116706,0.6374528861554695,0.9319727891156463,0.6799818077865912
T000225,0.621475570665838,0.7861876417712007,1.081858407079646,0.6311541802060288
T000226,0.7962639259667325,0.8159298106351176,1.1103862212943634,0.7970580099022214
T000227,0.8379446157151169,0.8431120060090269,0.8347515316541866,0.8155655810912504
